,img_filename,bbox,data_type,data_source,platform,scale,description,output,answer_id,model_id,correct,bbox_xyxy
2,pc_2c6dc6ea-fd6f-4cbb-9954-2d6a68610a48.png,"[258, 139, 1400, 232]",text,windows,desktop,0.7000000000000001,play the solitaire collection,"[352, 554]",axcq79YqBTDhZgw79eA5SQ,merged-llava-v1.5-vicuna-7b-16k-13m_v1,False,"[258, 139, 1658, 371]"
3,pc_b072d03a-51cb-4dd6-bdeb-152d3fd44e6b.png,"[281, 61, 103, 104]",text,windows,desktop,1.4,open the gallery,"[221, 394]",Xjfp2KsQstzQdXCYi3sVrV,merged-llava-v1.5-vicuna-7b-16k-13m_v1,False,"[281, 61, 384, 165]"
5,pc_f0122b91-3f8b-4510-9a6e-f0239d84b94e.png,"[697, 63, 34, 32]",icon,windows,desktop,1.4,minimize calculator,"[802, 79]",M9Jd7DM2wMXQcpRpMyrCUw,merged-llava-v1.5-vicuna-7b-16k-13m_v1,False,"[697, 63, 731, 95]"
8,pc_db6b6fa2-11cc-4b06-88cb-22c180f07a3b.png,"[9, 0, 35, 31]",icon,windows,desktop,1.4,save the file,"[165, 250]",VViab8YC2aB8WhYp3yUe9t,merged-llava-v1.5-vicuna-7b-16k-13m_v1,False,"[9, 0, 44, 31]"
10,pc_bc9ed2f6-79c1-4a35-bcb5-4760bf4ed57d.png,"[880, 6, 36, 31]",icon,windows,desktop,1.4,add this page to favourites,"[917, 78]",gJAK7bvyvB7Zso7jaYwkft,merged-llava-v1.5-vicuna-7b-16k-13m_v1,False,"[880, 6, 916, 37]"
12,pc_e618dc7e-8ffb-4a37-a317-9d3908c38395.png,"[883, 496, 62, 44]",icon,windows,desktop,1.4,input method toolbar,"[270, 106]",9d6KUDFpVUBdKGFNHqi6fq,merged-llava-v1.5-vicuna-7b-16k-13m_v1,False,"[883, 496, 945, 540]"
14,pc_ad16765f-de52-4903-b406-fb5213b94db9.png,"[924, 496, 33, 44]",icon,windows,desktop,1.4,network and internet settings,"[870, 524]",KV2PdeHT35DpbZTD8uf5NU,merged-llava-v1.5-vicuna-7b-16k-13m_v1,False,"[924, 496, 957, 540]"
15,pc_1ebb6beb-3187-45a6-a5a6-e50aa9a327e5.png,"[813, 0, 34, 32]",icon,windows,desktop,1.4,open a new tab,"[78, 168]",DsA947Ww9GrrdzfGs3pZUg,merged-llava-v1.5-vicuna-7b-16k-13m_v1,False,"[813, 0, 847, 32]"
22,pc_133ac2cd-3eb3-4d45-be35-255a83831f97.png,"[607, 8, 349, 36]",text,windows,desktop,1.4,search for local files,"[578, 27]",LNPJFtxGoAE7VWhftHV9A9,merged-llava-v1.5-vicuna-7b-16k-13m_v1,False,"[607, 8, 956, 44]"
25,pc_2b40c066-2f8f-4389-8df8-e70e8dfc1309.png,"[894, 0, 66, 64]",icon,windows,desktop,1.4,full-screen display,"[933, 74]",JFKcjEbpSiiTnHDmdwLvqu,merged-llava-v1.5-vicuna-7b-16k-13m_v1,False,"[894, 0, 960, 64]"
29,pc_fa28755f-aee4-48f3-a484-02e670a6ff8f.png,"[537, 127, 279, 25]",text,windows,desktop,1.4,add a new file,"[667, 28]",WwTpdoRRcPPTHbGfT6xvpo,merged-llava-v1.5-vicuna-7b-16k-13m_v1,False,"[537, 127, 816, 152]"
